2018/01/04 18:08:16 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:20 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:20 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:24 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:24 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:40 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:40 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:40 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:41 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:41 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:41 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
2018/01/04 18:08:41 - CoreCV.Camera.Void .ctor(System.String, System.String): 5312 HALCON error #5312: Image acquisition: device cannot be initialized in operator open_framegrabber
2018/01/04 18:08:41 - libreCVmain.frmMatchingAssistant.Void btnGrabImage_Click(System.Object, System.EventArgs): HALCON error #5310: Image acquisition: handle not valid in operator grab_image
